date,team1,team2,winner,champion_prediction,challenger_prediction,champion_correct,challenger_correct,category,champion_toss_winner_is_team1,challenger_toss_winner_is_team1,diff_toss_winner_is_team1,champion_team1_historical_win_rate,challenger_team1_historical_win_rate,diff_team1_historical_win_rate,champion_team2_historical_win_rate,challenger_team2_historical_win_rate,diff_team2_historical_win_rate,champion_team1_recent_win_rate,challenger_team1_recent_win_rate,diff_team1_recent_win_rate,champion_team2_recent_win_rate,challenger_team2_recent_win_rate,diff_team2_recent_win_rate,champion_team1_h2h_win_rate,challenger_team1_h2h_win_rate,diff_team1_h2h_win_rate,champion_team2_h2h_win_rate,challenger_team2_h2h_win_rate,diff_team2_h2h_win_rate,champion_team1_venue_win_rate,challenger_team1_venue_win_rate,diff_team1_venue_win_rate,champion_team2_venue_win_rate,challenger_team2_venue_win_rate,diff_team2_venue_win_rate,challenger_toss_data_known,changed_feature_count,changed_features,total_absolute_feature_change
2025-11-05,West Indies,New Zealand,West Indies,0,1,False,True,CHALLENGER_IMPROVEMENT,0.0,0.0,0.0,0.4433962264150943,0.4230769230769231,-0.020319303338171224,0.5570776255707762,0.5103734439834025,-0.04670418158737377,0.8,0.8,0.0,0.4,0.0,-0.4,0.3333333333333333,0.25,-0.08333333333333331,0.6666666666666666,0.5,-0.16666666666666663,0.5,0.0,-0.5,0.25,0.1428571428571428,-0.1071428571428572,1,7,"team1_historical_win_rate, team2_historical_win_rate, team2_recent_win_rate, team1_h2h_win_rate, team2_h2h_win_rate, team1_venue_win_rate, team2_venue_win_rate",1.324166342068402
2025-11-06,Timor-Leste,Indonesia,Indonesia,1,0,False,True,CHALLENGER_IMPROVEMENT,1.0,1.0,0.0,0.5,0.5,0.0,0.453125,0.4477611940298507,-0.0053638059701492935,0.5,0.5,0.0,0.4,0.4,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.4888888888888889,-0.011111111111111127,1,2,"team2_historical_win_rate, team2_venue_win_rate",0.01647491708126042
2025-11-12,Qatar,Hong Kong,Qatar,0,1,False,True,CHALLENGER_IMPROVEMENT,1.0,1.0,0.0,0.5,0.4545454545454545,-0.045454545454545525,0.4711538461538461,0.4434782608695652,-0.02767558528428088,0.6,0.4,-0.19999999999999996,0.4,0.2,-0.2,0.2,0.1666666666666666,-0.03333333333333341,0.8,0.6666666666666666,-0.13333333333333341,0.6666666666666666,0.5882352941176471,-0.07843137254901955,0.5,0.0,-0.5,1,8,"team1_historical_win_rate, team2_historical_win_rate, team1_recent_win_rate, team2_recent_win_rate, team1_h2h_win_rate, team2_h2h_win_rate, team1_venue_win_rate, team2_venue_win_rate",1.2182281699545128
2025-11-27,Ireland,Bangladesh,Ireland,1,0,True,False,CHALLENGER_REGRESSION,0.0,0.0,0.0,0.4586466165413533,0.4096385542168674,-0.0490080623244859,0.391304347826087,0.3951219512195122,0.0038176033934252396,0.2,0.0,-0.2,0.0,0.4,0.4,0.4,0.3333333333333333,-0.06666666666666671,0.6,0.5,-0.09999999999999998,0.5,0.5,0.0,0.0,0.0,0.0,1,6,"team1_historical_win_rate, team2_historical_win_rate, team1_recent_win_rate, team2_recent_win_rate, team1_h2h_win_rate, team2_h2h_win_rate",0.8194923323845779
2025-12-04,Nigeria,Zambia,Nigeria,1,0,True,False,CHALLENGER_REGRESSION,0.0,0.0,0.0,0.4683544303797468,0.4567901234567901,-0.01156430692295668,0.5,0.5,0.0,0.4,0.4,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,1.0,1.0,0.0,0.5,0.5,0.0,1,1,team1_historical_win_rate,0.01156430692295668
2025-12-09,India,South Africa,India,1,0,True,False,CHALLENGER_REGRESSION,0.0,0.0,0.0,0.6962025316455697,0.6731517509727627,-0.02305078067280697,0.541871921182266,0.5380952380952381,-0.0037766830870279433,0.8,0.4,-0.4,0.2,0.2,0.0,0.6,0.5806451612903226,-0.019354838709677358,0.4,0.3870967741935484,-0.012903225806451646,0.0,0.0,0.0,1.0,1.0,0.0,1,5,"team1_historical_win_rate, team2_historical_win_rate, team1_recent_win_rate, team1_h2h_win_rate, team2_h2h_win_rate",0.45908552827596394
2025-12-23,Indonesia,Cambodia,Indonesia,1,0,True,False,CHALLENGER_REGRESSION,1.0,0.0,-1.0,0.4810126582278481,0.4691358024691358,-0.011876855758712335,0.4285714285714285,0.4137931034482758,-0.014778325123152691,0.2,0.2,0.0,0.6,0.4,-0.19999999999999996,0.4285714285714285,0.4,-0.02857142857142847,0.5714285714285714,0.5333333333333333,-0.03809523809523807,0.5471698113207547,0.5272727272727272,-0.01989708404802748,0.5384615384615384,0.5,-0.038461538461538436,1,8,"toss_winner_is_team1, team1_historical_win_rate, team2_historical_win_rate, team2_recent_win_rate, team1_h2h_win_rate, team2_h2h_win_rate, team1_venue_win_rate, team2_venue_win_rate",1.3516804700580973
2026-01-27,West Indies,South Africa,South Africa,1,0,False,True,CHALLENGER_IMPROVEMENT,0.0,0.0,0.0,0.4398148148148148,0.4173553719008264,-0.022459442913988437,0.5362318840579711,0.5327102803738317,-0.0035216036841393406,0.4,0.2,-0.2,0.2,0.2,0.0,0.5384615384615384,0.5384615384615384,0.0,0.4615384615384615,0.4615384615384615,0.0,0.5,0.5,0.0,0.5,0.5,0.0,1,3,"team1_historical_win_rate, team2_historical_win_rate, team1_recent_win_rate",0.2259810465981278
2026-01-29,Ireland,United Arab Emirates,Ireland,1,0,True,False,CHALLENGER_REGRESSION,1.0,1.0,0.0,0.460431654676259,0.4127906976744186,-0.0476409570018404,0.5641025641025641,0.5227272727272727,-0.04137529137529139,0.4,0.4,0.0,0.4,0.4,0.0,0.3636363636363636,0.3636363636363636,0.0,0.6363636363636364,0.6363636363636364,0.0,0.9,0.9,0.0,0.2142857142857142,0.2142857142857142,0.0,1,2,"team1_historical_win_rate, team2_historical_win_rate",0.08901624837713179
2026-01-29,Pakistan,Australia,Pakistan,0,1,False,True,CHALLENGER_IMPROVEMENT,1.0,1.0,0.0,0.5962264150943396,0.5734265734265734,-0.022799841667766163,0.5845410628019324,0.5570776255707762,-0.027463437231156185,0.6,0.6,0.0,0.6,0.2,-0.39999999999999997,0.4615384615384615,0.4285714285714285,-0.032967032967033016,0.5384615384615384,0.5,-0.038461538461538436,0.6428571428571429,0.6428571428571429,0.0,1.0,1.0,0.0,1,5,"team1_historical_win_rate, team2_historical_win_rate, team2_recent_win_rate, team1_h2h_win_rate, team2_h2h_win_rate",0.5216918503274938
2026-02-10,Namibia,Netherlands,Netherlands,0,1,True,False,CHALLENGER_REGRESSION,0.0,0.0,0.0,0.6097560975609756,0.5882352941176471,-0.021520803443328518,0.5229357798165137,0.4957983193277311,-0.027137460488782628,0.8,0.8,0.0,0.4,0.2,-0.2,0.25,0.2,-0.04999999999999999,0.75,0.6,-0.15000000000000002,0.5,0.5,0.0,0.5,0.5,0.0,1,5,"team1_historical_win_rate, team2_historical_win_rate, team2_recent_win_rate, team1_h2h_win_rate, team2_h2h_win_rate",0.44865826393211117
2026-02-10,United Arab Emirates,New Zealand,New Zealand,1,0,False,True,CHALLENGER_IMPROVEMENT,1.0,1.0,0.0,0.5546218487394958,0.5149253731343284,-0.039696475605167425,0.5526315789473685,0.5079365079365079,-0.044695071010860565,0.4,0.4,0.0,0.2,0.4,0.2,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,0.0,0.5,0.5,0.0,0.5,0.5,0.0,1,3,"team1_historical_win_rate, team2_historical_win_rate, team2_recent_win_rate",0.284391546616028
2026-02-12,Nepal,Italy,Italy,1,0,False,True,CHALLENGER_IMPROVEMENT,0.0,0.0,0.0,0.6138613861386139,0.5833333333333334,-0.03052805280528048,0.6,0.6,0.0,0.8,0.8,0.0,0.2,0.2,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,1,1,team1_historical_win_rate,0.03052805280528048
2026-02-14,Scotland,England,England,0,1,True,False,CHALLENGER_REGRESSION,0.0,0.0,0.0,0.4942528735632184,0.4479166666666667,-0.04633620689655171,0.553921568627451,0.5296803652968036,-0.024241203330647387,0.4,0.4,0.0,0.8,0.8,0.0,0.5,0.0,-0.5,0.5,0.0,-0.5,0.5,0.5,0.0,0.0,0.0,0.0,1,4,"team1_historical_win_rate, team2_historical_win_rate, team1_h2h_win_rate, team2_h2h_win_rate",1.070577410227199
2026-02-15,Qatar,Bahrain,Qatar,1,0,True,False,CHALLENGER_REGRESSION,1.0,1.0,0.0,0.509090909090909,0.4666666666666667,-0.042424242424242364,0.6326530612244898,0.6078431372549019,-0.02480992396958792,0.6,0.6,0.0,0.6,0.6,0.0,0.625,0.5555555555555556,-0.06944444444444442,0.375,0.3333333333333333,-0.041666666666666685,0.6842105263157895,0.6190476190476191,-0.06516290726817042,0.5714285714285714,0.5714285714285714,0.0,1,5,"team1_historical_win_rate, team2_historical_win_rate, team1_h2h_win_rate, team2_h2h_win_rate, team1_venue_win_rate",0.2435081847731118
2026-02-16,Australia,Sri Lanka,Sri Lanka,1,0,False,True,CHALLENGER_IMPROVEMENT,0.0,0.0,0.0,0.5754716981132075,0.5491071428571429,-0.026364555256064626,0.4471153846153846,0.4419642857142857,-0.005151098901098883,0.2,0.2,0.0,0.4,0.4,0.0,0.6,0.5769230769230769,-0.023076923076923106,0.4,0.3846153846153846,-0.015384615384615441,0.25,0.25,0.0,0.5,0.44,-0.06,1,5,"team1_historical_win_rate, team2_historical_win_rate, team1_h2h_win_rate, team2_h2h_win_rate, team2_venue_win_rate",0.12997719261870205
