date,team1,team2,venue,toss_winner,toss_decision,match_type,season,winner,team1_won,toss_winner_is_team1,team1_historical_win_rate,team2_historical_win_rate,team1_recent_win_rate,team2_recent_win_rate,team1_h2h_win_rate,team2_h2h_win_rate,team1_venue_win_rate,team2_venue_win_rate,team1_historical_sample_size,team2_historical_sample_size,team1_h2h_sample_size,team2_h2h_sample_size,team1_venue_sample_size,team2_venue_sample_size,team1_h2h_reliability,team2_h2h_reliability,team1_venue_reliability,team2_venue_reliability
2014-03-31,New Zealand,Sri Lanka,Zahur Ahmed Chowdhury Stadium,New Zealand,field,T20,2013/14,Sri Lanka,0,1,0.5074626865671642,0.6101694915254238,0.8,0.8,0.5,0.5,0.6666666666666666,0.8,67,59,10,10,3,5,MEDIUM,MEDIUM,LOW,MEDIUM
2014-03-31,England,Netherlands,Zahur Ahmed Chowdhury Stadium,England,field,T20,2013/14,Netherlands,0,1,0.4848484848484848,0.45,0.4,0.2,0.0,1.0,0.3333333333333333,0.0,66,20,1,1,3,3,LOW,LOW,LOW,LOW
2014-04-01,Pakistan,West Indies,Shere Bangla National Stadium,West Indies,bat,T20,2013/14,West Indies,0,0,0.6133333333333333,0.4912280701754385,0.6,0.6,0.6666666666666666,0.3333333333333333,0.75,0.6,75,57,3,3,4,5,LOW,LOW,LOW,MEDIUM
2014-04-01,Bangladesh,Australia,Shere Bangla National Stadium,Bangladesh,bat,T20,2013/14,Australia,0,1,0.2058823529411764,0.5217391304347826,0.2,0.4,0.0,1.0,0.1428571428571428,0.0,34,69,2,2,7,3,LOW,LOW,MEDIUM,LOW
2014-04-03,Sri Lanka,West Indies,Shere Bangla National Stadium,Sri Lanka,bat,T20,2013/14,Sri Lanka,1,1,0.6166666666666667,0.5,0.8,0.6,0.8,0.2,0.5,0.6666666666666666,60,58,5,5,0,6,MEDIUM,MEDIUM,LOW,MEDIUM
2014-04-04,India,South Africa,Shere Bangla National Stadium,South Africa,bat,T20,2013/14,India,1,0,0.5869565217391305,0.6060606060606061,1.0,0.6,0.7142857142857143,0.2857142857142857,1.0,0.5,46,66,7,7,4,0,MEDIUM,MEDIUM,LOW,LOW
2014-04-06,India,Sri Lanka,Shere Bangla National Stadium,Sri Lanka,field,T20,2013/14,Sri Lanka,0,0,0.5957446808510638,0.6229508196721312,1.0,0.8,0.6,0.4,1.0,1.0,47,61,5,5,5,1,MEDIUM,MEDIUM,MEDIUM,LOW
2014-05-20,England,Sri Lanka,Kennington Oval,England,field,T20,2014,Sri Lanka,0,1,0.4776119402985074,0.6290322580645161,0.4,0.8,0.4,0.6,0.4285714285714285,1.0,67,62,5,5,7,1,MEDIUM,MEDIUM,MEDIUM,LOW
2014-07-05,West Indies,New Zealand,"Windsor Park, Roseau",New Zealand,field,T20,2014,New Zealand,0,0,0.4915254237288136,0.5,0.6,0.6,0.4,0.6,0.5,0.5,59,68,5,5,0,0,MEDIUM,MEDIUM,LOW,LOW
2014-07-06,West Indies,New Zealand,"Windsor Park, Roseau",New Zealand,field,T20,2014,West Indies,1,0,0.4833333333333333,0.5072463768115942,0.6,0.6,0.3333333333333333,0.6666666666666666,0.0,1.0,60,69,6,6,1,1,MEDIUM,MEDIUM,LOW,LOW
