date,team1,team2,venue,toss_winner,toss_decision,match_type,season,winner,team1_won,toss_winner_is_team1,team1_historical_win_rate,team2_historical_win_rate,team1_recent_win_rate,team2_recent_win_rate,team1_h2h_win_rate,team2_h2h_win_rate,team1_venue_win_rate,team2_venue_win_rate
2009-01-11,Australia,South Africa,Melbourne Cricket Ground,Australia,bat,T20,2008/09,Australia,1,1,0.5333333333333333,0.6153846153846154,0.4,0.6,0.5,0.5,1.0,0.5
2009-01-13,Australia,South Africa,"Brisbane Cricket Ground, Woolloongabba",South Africa,bat,T20,2008/09,Australia,1,0,0.5625,0.5714285714285714,0.6,0.6,0.6666666666666666,0.3333333333333333,1.0,0.0
2009-02-10,Sri Lanka,India,R Premadasa Stadium,Sri Lanka,bat,T20,2008/09,India,0,1,0.6,0.75,0.4,0.8,0.5,0.5,0.5,0.5
2009-02-15,Australia,New Zealand,Sydney Cricket Ground,Australia,bat,T20,2008/09,Australia,1,1,0.5882352941176471,0.375,0.8,0.2,1.0,0.0,1.0,0.5
2009-02-25,New Zealand,India,AMI Stadium,New Zealand,field,T20,2008/09,New Zealand,1,1,0.35294117647058826,0.7777777777777778,0.2,0.8,1.0,0.0,0.5,0.5
2009-02-27,New Zealand,India,Westpac Stadium,New Zealand,field,T20,2008/09,New Zealand,1,1,0.3888888888888889,0.7,0.4,0.6,1.0,0.0,0.0,0.5
2009-03-15,West Indies,England,"Queen's Park Oval, Port of Spain",West Indies,field,T20,2008/09,West Indies,1,1,0.375,0.42857142857142855,0.4,0.6,0.5,0.5,0.5,0.5
2009-03-27,South Africa,Australia,New Wanderers Stadium,South Africa,field,T20,2008/09,South Africa,1,1,0.5333333333333333,0.6111111111111112,0.4,0.8,0.25,0.75,0.7142857142857143,0.0
2009-03-29,South Africa,Australia,SuperSport Park,Australia,field,T20,2008/09,South Africa,1,0,0.5625,0.5789473684210527,0.6,0.6,0.4,0.6,0.5,0.5
2009-05-07,Australia,Pakistan,Dubai International Cricket Stadium,Pakistan,field,T20,2009,Pakistan,0,0,0.55,0.8333333333333334,0.6,0.6,0.0,1.0,0.5,0.5
2009-06-05,England,Netherlands,Lord's,Netherlands,field,T20,2009,Netherlands,0,0,0.4,1.0,0.6,1.0,0.5,0.5,0.5,0.5
2009-06-06,New Zealand,Scotland,Kennington Oval,New Zealand,field,T20,2009,New Zealand,1,1,0.42105263157894735,0.3333333333333333,0.6,0.3333333333333333,0.5,0.5,0.5,0.5
2009-06-06,Australia,West Indies,Kennington Oval,Australia,bat,T20,2009,West Indies,0,1,0.5238095238095238,0.4444444444444444,0.4,0.6,0.0,1.0,0.5,0.5
2009-06-06,Bangladesh,India,Trent Bridge,India,bat,T20,2009,India,0,0,0.2222222222222222,0.6363636363636364,0.0,0.4,0.5,0.5,0.5,0.5
2009-06-07,Scotland,South Africa,Kennington Oval,Scotland,field,T20,2009,South Africa,0,1,0.25,0.5882352941176471,0.25,0.6,0.5,0.5,0.0,0.5
2009-06-07,England,Pakistan,Kennington Oval,Pakistan,field,T20,2009,England,1,0,0.375,0.8461538461538461,0.6,0.6,0.0,1.0,0.5,0.5
2009-06-08,Bangladesh,Ireland,Trent Bridge,Ireland,field,T20,2009,Ireland,0,0,0.2,1.0,0.0,1.0,0.5,0.5,0.0,0.5
2009-06-08,Australia,Sri Lanka,Trent Bridge,Sri Lanka,field,T20,2009,Sri Lanka,0,0,0.5,0.5454545454545454,0.2,0.4,1.0,0.0,0.5,0.5
2009-06-09,Netherlands,Pakistan,Lord's,Pakistan,bat,T20,2009,Pakistan,0,0,1.0,0.7857142857142857,1.0,0.6,0.5,0.5,1.0,0.5
2009-06-09,New Zealand,South Africa,Lord's,New Zealand,field,T20,2009,South Africa,0,1,0.45,0.6111111111111112,0.8,0.6,0.3333333333333333,0.6666666666666666,0.5,0.5
2009-06-10,India,Ireland,Trent Bridge,India,field,T20,2009,India,1,1,0.6666666666666666,1.0,0.4,1.0,0.5,0.5,1.0,1.0
2009-06-10,Sri Lanka,West Indies,Trent Bridge,West Indies,field,T20,2009,Sri Lanka,1,0,0.5833333333333334,0.5,0.4,0.6,0.5,0.5,1.0,0.5
2009-06-11,Ireland,New Zealand,Trent Bridge,Ireland,field,T20,2009,New Zealand,0,1,0.6666666666666666,0.42857142857142855,0.6666666666666666,0.6,0.5,0.5,0.5,0.5
2009-06-11,England,South Africa,Trent Bridge,England,bat,T20,2009,South Africa,0,1,0.4117647058823529,0.631578947368421,0.6,0.8,0.0,1.0,0.5,0.5
2009-06-12,India,West Indies,Lord's,India,bat,T20,2009,West Indies,0,1,0.6923076923076923,0.45454545454545453,0.6,0.6,0.5,0.5,0.5,0.5
2009-06-12,Pakistan,Sri Lanka,Lord's,Sri Lanka,bat,T20,2009,Sri Lanka,0,0,0.8,0.6153846153846154,0.6,0.6,0.6666666666666666,0.3333333333333333,1.0,0.5
2009-06-13,New Zealand,Pakistan,Kennington Oval,New Zealand,bat,T20,2009,Pakistan,0,1,0.45454545454545453,0.75,0.8,0.4,0.0,1.0,1.0,0.0
2009-06-13,South Africa,West Indies,Kennington Oval,West Indies,field,T20,2009,South Africa,1,0,0.65,0.5,1.0,0.6,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666
2009-06-14,Ireland,Sri Lanka,Lord's,Sri Lanka,bat,T20,2009,Sri Lanka,0,0,0.5,0.6428571428571429,0.5,0.8,0.5,0.5,0.5,1.0
2009-06-14,England,India,Lord's,India,field,T20,2009,England,1,0,0.3888888888888889,0.6428571428571429,0.4,0.4,0.0,1.0,0.0,0.0
2009-06-15,Ireland,Pakistan,Kennington Oval,Pakistan,bat,T20,2009,Pakistan,0,0,0.4,0.7647058823529411,0.4,0.6,0.5,0.5,0.5,0.5
2009-06-15,England,West Indies,Kennington Oval,England,bat,T20,2009,West Indies,0,1,0.42105263157894735,0.46153846153846156,0.4,0.6,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.5
2009-06-16,India,South Africa,Trent Bridge,South Africa,bat,T20,2009,South Africa,0,0,0.6,0.6666666666666666,0.4,1.0,1.0,0.0,1.0,1.0
2009-06-16,New Zealand,Sri Lanka,Trent Bridge,Sri Lanka,bat,T20,2009,Sri Lanka,0,0,0.43478260869565216,0.6666666666666666,0.6,0.8,0.3333333333333333,0.6666666666666666,1.0,1.0
2009-06-18,Pakistan,South Africa,Trent Bridge,Pakistan,bat,T20,2009,Pakistan,1,1,0.7777777777777778,0.6818181818181818,0.6,1.0,0.5,0.5,0.5,1.0
2009-06-19,Sri Lanka,West Indies,Kennington Oval,West Indies,field,T20,2009,Sri Lanka,1,0,0.6875,0.5,1.0,0.6,1.0,0.0,0.5,0.6
2009-06-21,Pakistan,Sri Lanka,Lord's,Sri Lanka,bat,T20,2009,Pakistan,1,0,0.7894736842105263,0.7058823529411765,0.8,1.0,0.5,0.5,0.5,1.0
2009-08-02,West Indies,Bangladesh,"Warner Park, Basseterre",Bangladesh,bat,T20,2009,West Indies,1,0,0.4666666666666667,0.18181818181818182,0.4,0.0,0.0,1.0,0.5,0.5
2009-08-12,Sri Lanka,Pakistan,R Premadasa Stadium,Pakistan,bat,T20,2009,Pakistan,0,0,0.6666666666666666,0.8,0.8,0.8,0.4,0.6,0.0,0.5
