date,team1,team2,venue,toss_winner,toss_decision,match_type,season,winner
2023-10-04,Nigeria,Rwanda,"Tafawa Balewa Square Cricket Oval, Lagos",Nigeria,bat,T20,2023/24,Nigeria
2023-10-04,Sierra Leone,Ghana,"Tafawa Balewa Square Cricket Oval, Lagos",Ghana,field,T20,2023/24,Ghana
2023-10-05,Rwanda,Ghana,"Tafawa Balewa Square Cricket Oval, Lagos",Rwanda,bat,T20,2023/24,No Result
2023-10-05,Qatar,Maldives,"West End Park International Cricket Stadium, Doha",Maldives,field,T20,2023/24,Qatar
2023-10-05,Serbia,Gibraltar,Europa Sports Complex,Serbia,bat,T20,2023/24,Gibraltar
2023-10-05,Nigeria,Sierra Leone,"Tafawa Balewa Square Cricket Oval, Lagos",Sierra Leone,field,T20,2023/24,Nigeria
2023-10-05,Saudi Arabia,Kuwait,"West End Park International Cricket Stadium, Doha",Kuwait,field,T20,2023/24,Kuwait
2023-10-05,Serbia,Gibraltar,Europa Sports Complex,Gibraltar,field,T20,2023/24,Gibraltar
2023-10-06,Pakistan,Afghanistan,n (in China) 2023 2nd Semi-Final -Asian Games Men&#x27;s Cricket Competition (in China) 2023 T20I 2ND Zhejiang University of Technology Cricket Field,,,T20,2023,Afghanistan
2023-10-06,Bangladesh,India,Zhejiang University of Technology Cricket Field,India,field,T20,2023,India
2023-10-06,Rwanda,Sierra Leone,"Tafawa Balewa Square Cricket Oval, Lagos",Rwanda,bat,T20,2023/24,Rwanda
2023-10-06,Nigeria,Ghana,"Tafawa Balewa Square Cricket Oval, Lagos",Ghana,field,T20,2023/24,Nigeria
2023-10-07,Afghanistan,India,petition (in China) 2023 Final -Asian Games Men&#x27;s Cricket Competition (in China) 2023 T20I FINAL Zhejiang University of Technology Cricket Field,,,T20,2023,No Result
2023-10-07,Canada,Bermuda,"National Stadium, Hamilton",Canada,bat,T20,2023/24,Canada
2023-10-07,Rwanda,Nigeria,"Tafawa Balewa Square Cricket Oval, Lagos",Nigeria,field,T20,2023/24,Nigeria
