date,team1,team2,venue,toss_winner,toss_decision,match_type,season,winner,team1_won,toss_winner_is_team1,team1_historical_win_rate,team2_historical_win_rate,team1_recent_win_rate,team2_recent_win_rate,team1_h2h_win_rate,team2_h2h_win_rate,team1_venue_win_rate,team2_venue_win_rate,actual,predicted,team1_probability,team2_probability,correct_prediction,confidence,confidence_level,year,historical_difference
2025-08-10,Australia,South Africa,"Marrara Stadium, Darwin",South Africa,field,T20,2025,Australia,1,0,0.5829145728643216,0.5515463917525774,1.0,0.4,0.68,0.32,0.5,0.5,1,1,0.5792896725934926,0.4207103274065074,True,0.5792896725934926,LOW,2025,0.03136818111174422
2025-08-12,South Africa,Australia,"Marrara Stadium, Darwin",Australia,field,T20,2025,South Africa,1,0,0.5487179487179488,0.585,0.2,1.0,0.3076923076923077,0.6923076923076923,0.0,1.0,1,0,0.25887320999801955,0.7411267900019805,False,0.7411267900019805,HIGH,2025,0.0362820512820512
2025-08-14,Guernsey,Papua New Guinea,"King George V Sports Ground, Castel",Papua New Guinea,field,T20,2025,Papua New Guinea,0,0,0.53125,0.5185185185185185,0.0,0.2,0.5,0.5,0.6,0.5,0,1,0.5458249687896481,0.45417503121035185,False,0.5458249687896481,LOW,2025,0.01273148148148151
2025-08-16,South Africa,Australia,"Cazaly's Stadium, Cairns",Australia,field,T20,2025,Australia,0,0,0.5510204081632653,0.582089552238806,0.4,0.8,0.3333333333333333,0.6666666666666666,0.5,0.5,0,0,0.38012423643883586,0.6198757635611641,True,0.6198757635611641,MEDIUM,2025,0.031069144075540733
2025-08-17,Sweden,Norway,"Stubberudmyra Cricket Ground, Oslo",Sweden,bat,T20,2025,Norway,0,1,0.3846153846153846,0.5121951219512195,0.0,0.6,0.0,1.0,0.5,0.5,0,0,0.3028168769303441,0.6971831230696559,True,0.6971831230696559,MEDIUM,2025,0.12757973733583494
2025-08-17,Norway,Hungary,"Stubberudmyra Cricket Ground, Oslo",Norway,bat,T20,2025,Norway,1,1,0.5238095238095238,0.5,0.8,0.6,0.5,0.5,1.0,0.5,1,1,0.5308504096453649,0.4691495903546351,True,0.5308504096453649,LOW,2025,0.023809523809523836
2025-08-17,Sweden,Hungary,"Stubberudmyra Cricket Ground, Oslo",Hungary,field,T20,2025,Sweden,1,0,0.3703703703703703,0.4857142857142857,0.0,0.4,0.5,0.5,0.0,0.0,1,0,0.4393431637106489,0.5606568362893511,False,0.5606568362893511,LOW,2025,0.11534391534391542
2025-08-21,Czech Republic,Romania,"Moara Vlasiei Cricket Ground, Ilfov County",Romania,field,T20,2025,Czech Republic,1,0,0.4516129032258064,0.6444444444444445,0.0,0.6,0.0,1.0,0.0,0.7142857142857143,1,0,0.2504749777407315,0.7495250222592684,False,0.7495250222592684,HIGH,2025,0.1928315412186381
2025-08-21,Romania,Czech Republic,"Moara Vlasiei Cricket Ground, Ilfov County",Romania,bat,T20,2025,Romania,1,1,0.6304347826086957,0.46875,0.4,0.2,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,1,1,0.6484044253218124,0.3515955746781876,True,0.6484044253218124,MEDIUM,2025,0.16168478260869568
2025-08-22,Romania,Czech Republic,"Moara Vlasiei Cricket Ground, Ilfov County",Romania,bat,T20,2025,Czech Republic,0,1,0.6382978723404256,0.4545454545454545,0.6,0.2,0.75,0.25,0.6875,0.25,0,1,0.6826883072451239,0.31731169275487614,False,0.6826883072451239,MEDIUM,2025,0.1837524177949711
2025-08-22,Romania,Czech Republic,"Moara Vlasiei Cricket Ground, Ilfov County",Czech Republic,field,T20,2025,Romania,1,0,0.625,0.4705882352941176,0.6,0.4,0.6,0.4,0.6470588235294118,0.4,1,1,0.5867177131310987,0.41328228686890134,True,0.5867177131310987,LOW,2025,0.15441176470588241
2025-08-23,Austria,Belgium,"Velden Cricket Ground, Latschach",Austria,bat,T20,2025,Austria,1,1,0.72,0.6451612903225806,1.0,0.6,1.0,0.0,0.8,0.5,1,1,0.6724566205272259,0.3275433794727741,True,0.6724566205272259,MEDIUM,2025,0.07483870967741935
2025-08-23,Belgium,Austria,"Velden Cricket Ground, Latschach",Austria,field,T20,2025,Austria,0,0,0.625,0.7254901960784313,0.6,1.0,0.0,1.0,0.0,0.8333333333333334,0,0,0.22300371189854631,0.7769962881014537,True,0.7769962881014537,HIGH,2025,0.10049019607843135
2025-08-24,Belgium,Austria,"Velden Cricket Ground, Latschach",Belgium,bat,T20,2025,Austria,0,1,0.6060606060606061,0.7307692307692307,0.4,1.0,0.0,1.0,0.0,0.8571428571428571,0,0,0.21694428441169722,0.7830557155883028,True,0.7830557155883028,HIGH,2025,0.12470862470862465
2025-08-24,Belgium,Austria,"Velden Cricket Ground, Latschach",Austria,field,T20,2025,Austria,0,0,0.5882352941176471,0.7358490566037735,0.2,1.0,0.0,1.0,0.0,0.875,0,0,0.20589413395486975,0.7941058660451302,True,0.7941058660451302,HIGH,2025,0.14761376248612645
2025-08-30,Netherlands,Bangladesh,Sylhet International Cricket Stadium,Bangladesh,field,T20,2025,Bangladesh,0,0,0.5377358490566038,0.3908045977011494,0.6,0.8,0.2,0.8,0.5,0.2,0,0,0.38737683392043415,0.6126231660795658,True,0.6126231660795658,MEDIUM,2025,0.14693125135545437
2025-08-30,Pakistan,United Arab Emirates,Sharjah Cricket Stadium,Pakistan,bat,T20,2025,Pakistan,1,1,0.5894308943089431,0.580952380952381,0.6,0.6,1.0,0.0,1.0,0.6666666666666666,1,1,0.6453984908309727,0.35460150916902733,True,0.6453984908309727,MEDIUM,2025,0.008478513356562134
